1430263089566,0,0,0,352136063153650,no_ping,data_not_available,"[0,0,0]",0.0,,,,[],0,[0],0.0,,0,0,0
1430263149910,20019,6339,3867,352136063153650,www.unige.ch,Http,"[36,43,36]",36.0,MOBILE,LTE,Swisscom,[17782017],0,"[-100,-100,-100,-100,-99,-102,-97,-99]",-100.0,17782017,2727,1,228
1430263224297,20018,8820,10139,352136063153650,www.unige.ch,Http,"[33,49,46]",46.0,MOBILE,LTE,Swisscom,[17782017],0,"[-100,-101,-100,-100,-99,-100,-100]",-100.0,17782017,2727,1,228
1430263293922,20038,8819,15772,352136063153650,www.unige.ch,Http,"[35,42,37]",37.0,MOBILE,LTE,Swisscom,[17782017],0,"[-101,-101,-100,-100,-95,-97,-99,-99,-99]",-99.0,17782017,2727,1,228
1430263353984,20085,8963,5604,352136063153650,www.unige.ch,Http,"[41,36,37]",37.0,MOBILE,LTE,Swisscom,[17782017],0,"[-101,-101,-101]",-101.0,17782017,2727,1,228
1430263414008,20549,2547,3707,352136063153650,www.unige.ch,Http,"[37,47,41]",41.0,MOBILE,LTE,Swisscom,[17782017],0,[-101],-101.0,17782017,2727,1,228
1430263474387,20104,1895,1513,352136063153650,www.unige.ch,Http,"[36,43,38]",38.0,MOBILE,LTE,Swisscom,[17782017],0,[-101],-101.0,17782017,2727,1,228
1430263534485,20097,864,656,352136063153650,www.unige.ch,Http,"[33,37,41]",37.0,MOBILE,LTE,Swisscom,[17782017],0,[-101],-101.0,17782017,2727,1,228
1430263594630,20092,864,656,352136063153650,www.unige.ch,Http,"[46,39,36]",39.0,MOBILE,LTE,Swisscom,[17782017],0,[-101],-101.0,17782017,2727,1,228
1430263654634,21120,4714,2311,352136063153650,www.unige.ch,Http,"[37,43,35]",37.0,MOBILE,LTE,Swisscom,[17782017],0,"[-96,-96,-97,-97,-96,-96,-96,-96]",-96.0,17782017,2727,1,228
1430263714705,20059,1740,1761,352136063153650,www.unige.ch,Http,"[38,31,40]",38.0,MOBILE,LTE,Swisscom,[17782017],0,[-103],-103.0,17782017,2727,1,228
1430263774879,20059,864,656,352136063153650,www.unige.ch,Http,"[36,49,27]",36.0,MOBILE,LTE,Swisscom,[17782017],0,[-103],-103.0,17782017,2727,1,228
1430263834929,20022,74019,5885,352136063153650,www.unige.ch,Http,"[31,37,40]",37.0,MOBILE,LTE,Swisscom,[17782017],0,"[-99,-100,-100,-97,-98,-95,-98,-100]",-98.5,17782017,2727,1,228
1430263895001,20026,74655,6025,352136063153650,www.unige.ch,Http,"[34,43,40]",40.0,MOBILE,LTE,Swisscom,[17782017],0,"[-100,-98,-99,-100,-96,-95,-96,-94]",-97.0,17782017,2727,1,228
1430263955064,20025,980,1210,352136063153650,www.unige.ch,Http,"[42,38,32]",38.0,MOBILE,LTE,Swisscom,[17782017],0,[-96],-96.0,17782017,2727,1,228
1430264015096,20105,1021,899,352136063153650,www.unige.ch,Http,"[45,39,49]",45.0,MOBILE,LTE,Swisscom,[17782017],0,[-96],-96.0,17782017,2727,1,228
1430264077467,20093,999,843,352136063153650,www.unige.ch,Http,"[39,39,46]",39.0,MOBILE,LTE,Swisscom,[17782017],0,[-96],-96.0,17782017,2727,1,228
