com.android.mms, Communication
com.android.contacts, Contacts
com.android.phone, Calls
com.android.launcher, Launcher
com.google.android.browser, Browser
com.android.settings, Settings
com.google.android.gallery3d, Media & Video
com.google.android.dialer, Communication
pct.droid, Entertainment
com.google.android.contacts, Contacts
com.jayapps.mtube, Media & Video
com.android.calculator2, Tools
com.swisscom.tvguide, Media & Video
ch.orange.android, Communication
com.cyanogenmod.trebuchet, Launcher
com.android.dialer, Communication
com.tfsapps.playtube2, Media & Video
com.android.documentsui, Productivity
fr.amazon.mShop.android, Shopping
ch.neoos.doodle, Productivity
com.sjbstudio.the15minutemealsrecipes, Lifestyle
com.android.packageinstaller, Tools
com.handcent.nextsms, Communication
com.tripadvisor.android.apps.cityguide.london, Travel & Local
com.android.htmlviewer, Tools
com.android.mi.email, Communication
com.android.deskclock, Tools
com.quickoffice.android, Productivity
com.sally.yoga, Health & Fitness
com.games.shootbubble, Puzzle
com.jwork.wearable.heartratesync, Health & Fitness
app.medicalid.free, Health & Fitness
